Date,Close,hisse_kodu,sector,industry
2025-04-02,4.840000152587891,A1CAP,Financial Services,Capital Markets
2025-04-03,4.840000152587891,A1CAP,Financial Services,Capital Markets
2025-04-04,4.900000095367432,A1CAP,Financial Services,Capital Markets
2025-04-07,4.760000228881836,A1CAP,Financial Services,Capital Markets
2025-04-08,4.889999866485596,A1CAP,Financial Services,Capital Markets
2025-04-09,4.78000020980835,A1CAP,Financial Services,Capital Markets
2025-04-10,4.809999942779541,A1CAP,Financial Services,Capital Markets
2025-04-11,4.710000038146973,A1CAP,Financial Services,Capital Markets
2025-04-14,5.03000020980835,A1CAP,Financial Services,Capital Markets
2025-04-15,5.019999980926514,A1CAP,Financial Services,Capital Markets
2025-04-16,4.820000171661377,A1CAP,Financial Services,Capital Markets
2025-04-17,4.849999904632568,A1CAP,Financial Services,Capital Markets
2025-04-18,4.75,A1CAP,Financial Services,Capital Markets
2025-04-21,4.690000057220459,A1CAP,Financial Services,Capital Markets
2025-04-22,4.610000133514404,A1CAP,Financial Services,Capital Markets
2025-04-24,4.650000095367432,A1CAP,Financial Services,Capital Markets
2025-04-25,4.619999885559082,A1CAP,Financial Services,Capital Markets
2025-04-28,4.550000190734863,A1CAP,Financial Services,Capital Markets
2025-04-29,4.699999809265137,A1CAP,Financial Services,Capital Markets
2025-04-30,4.760000228881836,A1CAP,Financial Services,Capital Markets
2025-05-02,4.909999847412109,A1CAP,Financial Services,Capital Markets
2025-05-05,5.019999980926514,A1CAP,Financial Services,Capital Markets
2025-05-06,5.090000152587891,A1CAP,Financial Services,Capital Markets
2025-05-07,5.079999923706055,A1CAP,Financial Services,Capital Markets
2025-05-08,5.110000133514404,A1CAP,Financial Services,Capital Markets
2025-05-09,5.079999923706055,A1CAP,Financial Services,Capital Markets
2025-05-12,5.300000190734863,A1CAP,Financial Services,Capital Markets
2025-05-13,5.829999923706055,A1CAP,Financial Services,Capital Markets
2025-05-14,6.409999847412109,A1CAP,Financial Services,Capital Markets
2025-05-15,6.400000095367432,A1CAP,Financial Services,Capital Markets
2025-05-16,7.039999961853027,A1CAP,Financial Services,Capital Markets
2025-05-20,7.739999771118164,A1CAP,Financial Services,Capital Markets
